"channel","lambda","y","xhat","Jhat","score"
"Gaussian",0,-4,-0.948609969298003,-2.89721993859599,-0.948609969298003
"Gaussian",0,-3.996,-0.948545404545071,-2.89709080909013,-0.948545404545071
"Gaussian",0,-3.992,-0.948480682787815,-2.89696136557563,-0.948480682787815
"Gaussian",0,-3.988,-0.948415803469519,-2.89683160693903,-0.948415803469519
"Gaussian",0,-3.984,-0.948350766030907,-2.89670153206179,-0.948350766030907
"Gaussian",0,-3.98,-0.948285569910131,-2.89657113982024,-0.948285569910131
"Gaussian",0,-3.976,-0.948220214542765,-2.89644042908551,-0.948220214542765
"Gaussian",0,-3.972,-0.948154699361765,-2.89630939872353,-0.948154699361765
"Gaussian",0,-3.968,-0.948089023797473,-2.89617804759493,-0.948089023797473
"Gaussian",0,-3.964,-0.94802318727761,-2.89604637455519,-0.94802318727761
"Gaussian",0,-3.96,-0.947957189227247,-2.89591437845449,-0.947957189227247
"Gaussian",0,-3.956,-0.94789102906878,-2.89578205813753,-0.94789102906878
"Gaussian",0,-3.952,-0.947824706221945,-2.89564941244388,-0.947824706221945
"Gaussian",0,-3.948,-0.947758220103801,-2.89551644020758,-0.947758220103801
"Gaussian",0,-3.944,-0.947691570128667,-2.89538314025733,-0.947691570128667
"Gaussian",0,-3.94,-0.94762475570817,-2.89524951141633,-0.94762475570817
"Gaussian",0,-3.936,-0.947557776251174,-2.89511555250234,-0.947557776251174
"Gaussian",0,-3.932,-0.947490631163813,-2.89498126232762,-0.947490631163813
"Gaussian",0,-3.928,-0.947423319849447,-2.8948466396989,-0.947423319849447
"Gaussian",0,-3.924,-0.947355841708637,-2.89471168341726,-0.947355841708637
"Gaussian",0,-3.92,-0.947288196139184,-2.89457639227836,-0.947288196139184
"Gaussian",0,-3.916,-0.94722038253604,-2.89444076507207,-0.94722038253604
"Gaussian",0,-3.912,-0.947152400291333,-2.89430480058265,-0.947152400291333
"Gaussian",0,-3.908,-0.947084248794334,-2.89416849758865,-0.947084248794334
"Gaussian",0,-3.904,-0.94701592743149,-2.89403185486297,-0.94701592743149
"Gaussian",0,-3.9,-0.946947435586323,-2.89389487117264,-0.946947435586323
"Gaussian",0,-3.896,-0.946878772639493,-2.89375754527897,-0.946878772639493
"Gaussian",0,-3.892,-0.946809937968731,-2.89361987593745,-0.946809937968731
"Gaussian",0,-3.888,-0.946740930948837,-2.89348186189764,-0.946740930948837
"Gaussian",0,-3.884,-0.94667175095167,-2.89334350190331,-0.94667175095167
"Gaussian",0,-3.88,-0.946602397346143,-2.89320479469227,-0.946602397346143
"Gaussian",0,-3.876,-0.946532869498161,-2.89306573899632,-0.946532869498161
"Gaussian",0,-3.872,-0.946463166770644,-2.89292633354126,-0.946463166770644
"Gaussian",0,-3.868,-0.946393288523508,-2.89278657704699,-0.946393288523508
"Gaussian",0,-3.864,-0.946323234113632,-2.89264646822724,-0.946323234113632
"Gaussian",0,-3.86,-0.946253002894843,-2.89250600578967,-0.946253002894843
"Gaussian",0,-3.856,-0.946182594217905,-2.8923651884358,-0.946182594217905
"Gaussian",0,-3.852,-0.946112007430505,-2.89222401486099,-0.946112007430505
"Gaussian",0,-3.848,-0.946041241877223,-2.89208248375442,-0.946041241877223
"Gaussian",0,-3.844,-0.945970296899517,-2.89194059379902,-0.945970296899517
"Gaussian",0,-3.84,-0.945899171835704,-2.89179834367139,-0.945899171835704
"Gaussian",0,-3.836,-0.945827866020972,-2.89165573204192,-0.945827866020972
"Gaussian",0,-3.832,-0.945756378787298,-2.89151275757458,-0.945756378787298
