"channel","n","lambda","probability","ci_lower","ci_upper","collapse_coordinate","channel_display","population_label"
"Gaussian",25,0,1,0.999616001629323,1,-3.46823992264517,"Gaussian","n = 25"
"Gaussian",25,0.05,1,0.999616001629323,1,-3.29482792651291,"Gaussian","n = 25"
"Gaussian",25,0.1,1,0.999616001629323,1,-3.12141593038065,"Gaussian","n = 25"
"Gaussian",25,0.15,0.9997,0.999118264227764,0.999897967800582,-2.9480039342484,"Gaussian","n = 25"
"Gaussian",25,0.2,0.9988,0.997903527544183,0.99931339568123,-2.77459193811614,"Gaussian","n = 25"
"Gaussian",25,0.25,0.9954,0.993870194284531,0.996549340129802,-2.60117994198388,"Gaussian","n = 25"
"Gaussian",25,0.3,0.9892,0.986978018893896,0.991046277100234,-2.42776794585162,"Gaussian","n = 25"
"Gaussian",25,0.35,0.9778,0.974723572600068,0.980509478556913,-2.25435594971936,"Gaussian","n = 25"
"Gaussian",25,0.4,0.96,0.955979308348857,0.96366741315012,-2.0809439535871,"Gaussian","n = 25"
"Gaussian",25,0.45,0.9339,0.92886180390001,0.938604962313917,-1.90753195745484,"Gaussian","n = 25"
"Gaussian",25,0.5,0.9005,0.894478516619761,0.906213900685327,-1.73411996132259,"Gaussian","n = 25"
"Gaussian",25,0.55,0.8634,0.856529302816865,0.869991607167327,-1.56070796519033,"Gaussian","n = 25"
"Gaussian",25,0.6,0.8282,0.820681205058069,0.835466738411419,-1.38729596905807,"Gaussian","n = 25"
"Gaussian",25,0.65,0.789,0.780892776580774,0.796885272360975,-1.21388397292581,"Gaussian","n = 25"
"Gaussian",25,0.7,0.7437,0.735050555773584,0.752162283420548,-1.04047197679355,"Gaussian","n = 25"
"Gaussian",25,0.75,0.6999,0.690842097025998,0.708804380425406,-0.867059980661293,"Gaussian","n = 25"
"Gaussian",25,0.8,0.6566,0.647234695158097,0.665845036552207,-0.693647984529034,"Gaussian","n = 25"
"Gaussian",25,0.85,0.6158,0.606223886222619,0.625287179754733,-0.520235988396775,"Gaussian","n = 25"
"Gaussian",25,0.9,0.5753,0.565584851215552,0.584957318629824,-0.346823992264517,"Gaussian","n = 25"
"Gaussian",25,0.95,0.5377,0.527915465472402,0.547455581050449,-0.173411996132258,"Gaussian","n = 25"
"Gaussian",25,1,0.5055,0.49570054238992,0.515295233628002,0,"Gaussian","n = 25"
"Gaussian",25,1.05,0.4695,0.459732012805925,0.479291411094687,0.173411996132259,"Gaussian","n = 25"
"Gaussian",25,1.1,0.438,0.428301458915926,0.447746156882037,0.346823992264517,"Gaussian","n = 25"
"Gaussian",25,1.15,0.4076,0.398006236116966,0.417264726781935,0.520235988396776,"Gaussian","n = 25"
"Gaussian",25,1.2,0.3801,0.37063387298397,0.389658209825318,0.693647984529035,"Gaussian","n = 25"
"Gaussian",25,1.25,0.354,0.344684968492876,0.363427159031362,0.867059980661293,"Gaussian","n = 25"
"Gaussian",25,1.3,0.3332,0.32402716831763,0.342500933538828,1.04047197679355,"Gaussian","n = 25"
"Gaussian",25,1.35,0.3099,0.300910548949397,0.319035447231135,1.21388397292581,"Gaussian","n = 25"
"Gaussian",25,1.4,0.2878,0.279009323996287,0.296753644912228,1.38729596905807,"Gaussian","n = 25"
"Gaussian",25,1.45,0.2694,0.260794425676338,0.278182674372218,1.56070796519033,"Gaussian","n = 25"
"Gaussian",25,1.5,0.2521,0.24368577129429,0.260704615097891,1.73411996132259,"Gaussian","n = 25"
"Gaussian",25,1.55,0.2362,0.227977403135608,0.244625194404761,1.90753195745484,"Gaussian","n = 25"
"Gaussian",25,1.6,0.2215,0.213468930768828,0.229744956323639,2.0809439535871,"Gaussian","n = 25"
"Gaussian",25,1.65,0.2098,0.201931888183364,0.217890984470977,2.25435594971936,"Gaussian","n = 25"
"Gaussian",25,1.7,0.1979,0.190207826523378,0.205824185292185,2.42776794585162,"Gaussian","n = 25"
"Gaussian",25,1.75,0.1874,0.179872152095252,0.195167923686095,2.60117994198388,"Gaussian","n = 25"
"Gaussian",25,1.8,0.1785,0.171118530537555,0.18612838041479,2.77459193811614,"Gaussian","n = 25"
"Gaussian",25,1.85,0.1705,0.163255991338532,0.177997063587744,2.9480039342484,"Gaussian","n = 25"
"Gaussian",25,1.9,0.1626,0.155497515670496,0.169961606430036,3.12141593038065,"Gaussian","n = 25"
"Gaussian",25,1.95,0.1544,0.147450853799446,0.161614565874366,3.29482792651291,"Gaussian","n = 25"
"Gaussian",25,2,0.1477,0.14088130355484,0.154789261697139,3.46823992264517,"Gaussian","n = 25"
"Gaussian",50,0,1,0.999616001629323,1,-4.90483193616862,"Gaussian","n = 50"
"Gaussian",50,0.05,1,0.999616001629323,1,-4.65959033936018,"Gaussian","n = 50"
"Gaussian",50,0.1,1,0.999616001629323,1,-4.41434874255175,"Gaussian","n = 50"
"Gaussian",50,0.15,1,0.999616001629323,1,-4.16910714574332,"Gaussian","n = 50"
"Gaussian",50,0.2,1,0.999616001629323,1,-3.92386554893489,"Gaussian","n = 50"
"Gaussian",50,0.25,1,0.999616001629323,1,-3.67862395212646,"Gaussian","n = 50"
"Gaussian",50,0.3,0.9995,0.998829974053858,0.999786411573836,-3.43338235531803,"Gaussian","n = 50"
