"sigma","index","singular_value","normalized_singular_value"
0.1,1,2.04740182004258,1
0.1,2,1.83767724565857,0.897565503590471
0.1,3,1.53695678275202,0.750686439616457
0.1,4,1.20035235741972,0.586280790448235
0.1,5,0.878004814486514,0.428838543509868
0.1,6,0.603686147376405,0.294854747840289
0.1,7,0.391763612177037,0.191346714817753
0.1,8,0.24096490413733,0.117693020382446
0.1,9,0.141038674322983,0.0688866606165514
0.1,10,0.0788423208002678,0.0385084745106986
0.1,11,0.0422300333466386,0.0206261579594377
0.1,12,0.0217351046222789,0.0106159447596011
0.1,13,0.0107764166896342,0.00526345956330644
0.1,14,0.00515861440195026,0.00251959061062228
0.1,15,0.00238896740545675,0.001166828798368
0.1,16,0.00107223975481233,0.000523707532305517
0.1,17,0.00046718578067666,0.000228184705172795
0.1,18,0.000197901865303719,9.66600026269404e-05
0.1,19,8.16135390261664e-05,3.98620037489607e-05
0.1,20,3.28069403796238e-05,1.60236940587175e-05
0.1,21,1.28693008587411e-05,6.28567423002164e-06
0.1,22,4.93156403089616e-06,2.40869378087863e-06
0.1,23,1.84788196047631e-06,9.02549730290793e-07
0.1,24,6.77658937436823e-07,3.30984827112603e-07
0.1,25,2.4341904271907e-07,1.18891680341481e-07
0.1,26,8.5711226353721e-08,4.18634122108665e-08
0.1,27,2.96053898758348e-08,1.44599802471696e-08
0.1,28,1.00379009287536e-08,4.90275080860523e-09
0.1,29,3.34290575443552e-09,1.6327550956099e-09
0.1,30,1.09412567211074e-09,5.34397137581906e-10
0.1,31,3.52134903164017e-10,1.71991105857615e-10
0.1,32,1.11499247465366e-10,5.44588982845815e-11
0.1,33,3.47507789803447e-11,1.69731113063199e-11
0.1,34,1.06655806955769e-11,5.20932461384405e-12
0.1,35,3.22492241746519e-12,1.57512921298376e-12
0.1,36,9.61051104550523e-13,4.69400337121188e-13
0.1,37,2.82377635435787e-13,1.37919988480773e-13
0.1,38,8.18162954172125e-14,3.99610348180265e-14
0.1,39,2.33792223479641e-14,1.14189711658447e-14
0.1,40,6.62521158261924e-15,3.23591173836186e-15
0.1,41,2.07580064655694e-15,1.01387066585384e-15
0.1,42,1.66504074457942e-15,8.13245708917455e-16
0.1,43,1.21904331114537e-15,5.95409899127674e-16
0.1,44,1.04818404058123e-15,5.11958146329783e-16
0.1,45,9.59728421774567e-16,4.68754307229543e-16
0.1,46,8.65727933125431e-16,4.22842221126591e-16
0.1,47,8.27118846733026e-16,4.03984620232399e-16
0.1,48,6.67776007221994e-16,3.26157767705855e-16
0.1,49,5.9834389693336e-16,2.92245464996663e-16
0.1,50,5.75030796130252e-16,2.80858789174219e-16
0.1,51,4.88436566519728e-16,2.38564097061108e-16
0.1,52,4.48212917280521e-16,2.18917905070143e-16
0.1,53,4.34017235379519e-16,2.11984394626792e-16
0.1,54,3.862340829955e-16,1.88645960560623e-16
0.1,55,3.66034626267308e-16,1.7878006294812e-16
0.1,56,3.39913969992326e-16,1.66022109907696e-16
0.1,57,3.11936994842307e-16,1.52357486346192e-16
0.1,58,3.00075582004205e-16,1.46564088722928e-16
0.1,59,2.72871383993727e-16,1.33276907992614e-16
0.1,60,2.68506677523757e-16,1.31145080997423e-16
0.1,61,2.39982472497827e-16,1.1721317728087e-16
0.1,62,2.1980601243287e-16,1.07358511788516e-16
0.1,63,2.10721161656034e-16,1.02921253460472e-16
0.1,64,1.9532611274196e-16,9.54019434924101e-17
0.1,65,1.83599082921998e-16,8.96741817481532e-17
0.1,66,1.68027420590016e-16,8.20686095641556e-17
0.1,67,1.61069217712233e-16,7.86700569157855e-17
0.1,68,1.46285509680989e-16,7.1449340451376e-17
0.1,69,1.45723616122404e-16,7.11748982031154e-17
0.1,70,1.37146562389773e-16,6.69856600923215e-17
0.1,71,1.28376142010084e-16,6.27019770879238e-17
0.1,72,1.22148647582502e-16,5.96603199170552e-17
0.1,73,1.15709214641528e-16,5.65151469090327e-17
0.1,74,1.11887249682345e-16,5.46484078440536e-17
0.1,75,1.10165453842984e-16,5.38074415898942e-17
0.1,76,1.0700566975932e-16,5.22641274965238e-17
0.1,77,1.04260943260447e-16,5.09235374511283e-17
0.1,78,1.03831141003945e-16,5.0713611752961e-17
0.1,79,1.0154310874345e-16,4.95960820926387e-17
0.1,80,9.9262912189087e-17,4.84823795785345e-17
0.1,81,9.879685244357e-17,4.82547448558559e-17
0.1,82,9.59628551750112e-17,4.68705528321818e-17
0.1,83,9.48995016024388e-17,4.6351185523741e-17
0.1,84,9.28939290733554e-17,4.53716159495371e-17
0.1,85,9.11347933654721e-17,4.45124120108365e-17
0.1,86,9.00619196355658e-17,4.39883948299375e-17
0.1,87,8.92239164539584e-17,4.35790940403201e-17
0.1,88,8.84308734006861e-17,4.31917528523282e-17
0.1,89,8.70931716182817e-17,4.2538387318846e-17
0.1,90,8.5711968540383e-17,4.18637747125771e-17
0.1,91,8.36636641943487e-17,4.08633338973043e-17
0.1,92,8.22007697856514e-17,4.01488212919248e-17
0.1,93,8.02839560169375e-17,3.92126036184083e-17
0.1,94,7.87396978331052e-17,3.84583509999359e-17
0.1,95,7.67018271904826e-17,3.74630062548676e-17
