"channel","epsilon","delta","lambda","efficiency","efficiency_se","efficiency_lower","efficiency_upper","revenue","revenue_se","revenue_lower","revenue_upper","build_probability","mean_aggregate_xhat","mean_aggregate_Jhat","signal_outside_grid_rate"
"Gaussian",0.25,1e-05,1,0.505540081278449,0.00355882713659633,0.49856478009072,0.512515382466178,-25.1068978348412,0.176071118073972,-25.4519972262662,-24.7617984434162,0.50415,50.0004522507979,-49.9990954984042,0
"Laplace",0.25,1e-05,1,0.505874225194183,0.00355867964986123,0.498899213080455,0.512849237307911,-24.8368416500676,0.174523809318792,-25.1789083163324,-24.4947749838027,0.503199999999999,50.0010923057629,-49.9978153884747,0
"Logistic",0.25,1e-05,1,0.5039536276115,0.00355892014303214,0.496978144131157,0.510929111091843,-24.8944770147029,0.175408351593222,-25.2382773838256,-24.5506766455802,0.501799999999999,50.0012203103438,-49.9975593793124,0
"Gaussian",0.5,1e-05,1,0.505911257831615,0.00355870626194829,0.498936193558197,0.512886322105034,-24.9850024677302,0.1754483256539,-25.3288811860119,-24.6411237494486,0.5035,50.0008639247741,-49.9982721504518,0
"Laplace",0.5,1e-05,1,0.508833857578283,0.00355789929595634,0.501860374958209,0.515807340198358,-24.5346041007898,0.172447907717134,-24.8726019999153,-24.1966062016642,0.5032,50.002568251132,-49.994863497736,0
"Logistic",0.5,1e-05,1,0.507142650307831,0.00355837005699288,0.500168244996125,0.514117055619537,-24.7588503592746,0.174069930423896,-25.1000274229055,-24.4176732956438,0.502950000000001,50.0024709929137,-49.9950580141727,0
"Gaussian",0.75,1e-05,1,0.506257463301598,0.00355859635831215,0.499282614439306,0.51323231216389,-24.8772476510565,0.174855231134479,-25.2199639040801,-24.5345313980329,0.503049999999999,50.0012653490406,-49.9974693019187,0
"Laplace",0.75,1e-05,1,0.510883765144285,0.00355702582127008,0.503911994534595,0.517855535753974,-24.2121960031412,0.170528790053789,-24.5464324316466,-23.8779595746358,0.5024,50.0052646366076,-49.9894707267852,0
"Logistic",0.75,1e-05,1,0.508991728968118,0.00355782806211282,0.502018385966377,0.515965071969859,-24.5702872448666,0.172756781067096,-24.9088905357581,-24.2316839539751,0.503,50.0037352138439,-49.9925295723122,0
"Gaussian",1,1e-05,1,0.50653312852164,0.0035584912014142,0.499558485766869,0.513507771276412,-24.7699679152019,0.174283638966941,-25.1115638475771,-24.4283719828267,0.50255,50.0016611885506,-49.9966776228988,0
"Laplace",1,1e-05,1,0.513798902495186,0.00355564777867979,0.506829832848974,0.520767972141399,-23.9551524829554,0.168764444226781,-24.2859307936399,-23.624374172271,0.50255,50.0080762266062,-49.9838475467878,0
