"panel","channel","epsilon","lambda","mean_aggregate_xhat","mean_aggregate_Jhat","expected_total_x","expected_total_J","signal_outside_grid_rate","aggregate_xhat_error","aggregate_Jhat_error"
"welfare","Gaussian",0.25,0,0.00158215623025106,-99.9968356875395,0,-100,0,0.00158215623025106,0.00316431246051252
"welfare","Laplace",0.25,0,-0.000194487403060094,-100.000388974806,0,-100,0,-0.000194487403060094,-0.000388974806355691
"welfare","Logistic",0.25,0,0.00236425536978927,-99.9952714892604,0,-100,0,0.00236425536978927,0.00472851073959646
"welfare","Gaussian",0.5,0,0.00299437588809017,-99.9940112482238,0,-100,0,0.00299437588809017,0.00598875177618652
"welfare","Laplace",0.5,0,-1.05227324153774e-05,-100.000021045465,0,-100,0,-1.05227324153774e-05,-2.10454647060487e-05
"welfare","Logistic",0.5,0,0.00476159511857067,-99.9904768097629,0,-100,0,0.00476159511857067,0.00952319023714665
"welfare","Gaussian",0.75,0,0.0043444484175527,-99.9913111031649,0,-100,0,0.0043444484175527,0.00868889683509622
"welfare","Laplace",0.75,0,0.00120122719243009,-99.9975975456154,0,-100,0,0.00120122719243009,0.0024024543846366
"welfare","Logistic",0.75,0,0.0071914278803521,-99.9856171442393,0,-100,0,0.0071914278803521,0.0143828557606724
"welfare","Gaussian",1,0,0.00564893628338816,-99.9887021274332,0,-100,0,0.00564893628338816,0.0112978725667858
"welfare","Laplace",1,0,0.0028221497643639,-99.9943557004711,0,-100,0,0.0028221497643639,0.0056442995288819
"welfare","Logistic",1,0,0.00964030128239402,-99.9807193974352,0,-100,0,0.00964030128239402,0.0192806025647769
"welfare","Gaussian",1.5,0,0.00814508694079464,-99.9837098261184,0,-100,0,0.00814508694079464,0.0162901738815862
"welfare","Laplace",1.5,0,0.00934580333584427,-99.9813083933284,0,-100,0,0.00934580333584427,0.0186916066716094
"welfare","Logistic",1.5,0,0.0145379422417862,-99.9709241155164,0,-100,0,0.0145379422417862,0.0290758844835892
"welfare","Gaussian",2,0,0.0105077221805094,-99.978984555639,0,-100,0,0.0105077221805094,0.0210154443610264
"welfare","Laplace",2,0,0.017512385932732,-99.9649752281346,0,-100,0,0.017512385932732,0.0350247718654373
"welfare","Logistic",2,0,0.0193350937306915,-99.9613298125386,0,-100,0,0.0193350937306915,0.0386701874613777
"welfare","Gaussian",3,0,0.0148657666249707,-99.9702684667501,0,-100,0,0.0148657666249707,0.0297315332499437
"welfare","Laplace",3,0,0.0309758080449565,-99.9380483839101,0,-100,0,0.0309758080449565,0.0619516160899423
"welfare","Logistic",3,0,0.0281217089259618,-99.9437565821481,0,-100,0,0.0281217089259618,0.0562434178519311
"welfare","Gaussian",4,0,0.0187595744698224,-99.9624808510603,0,-100,0,0.0187595744698224,0.0375191489396514
"welfare","Laplace",4,0,0.040764470479613,-99.9184710590407,0,-100,0,0.040764470479613,0.0815289409593305
"welfare","Logistic",4,0,0.035091269661253,-99.9298174606775,0,-100,0,0.035091269661253,0.0701825393225022
"welfare","Gaussian",6,0,0.0252384063199633,-99.9495231873601,0,-100,0,0.0252384063199633,0.0504768126399284
"welfare","Laplace",6,0,0.0456757253805157,-99.9086485492389,0,-100,0,0.0456757253805157,0.0913514507611097
"welfare","Logistic",6,0,0.0423267584560218,-99.915346483088,0,-100,0,0.0423267584560218,0.0846535169120131
"revenue","Gaussian",0.25,1,50.0004522507979,-49.9990954984042,50,-50,0,0.000452250797884801,0.000904501595776708
"revenue","Laplace",0.25,1,50.0010923057629,-49.9978153884747,50,-50,0,0.00109230576285313,0.00218461152531546
"revenue","Logistic",0.25,1,50.0012203103438,-49.9975593793124,50,-50,0,0.00122031034378267,0.00244062068757955
"revenue","Gaussian",0.5,1,50.0008639247741,-49.9982721504518,50,-50,0,0.000863924774094471,0.00172784954818184
"revenue","Laplace",0.5,1,50.002568251132,-49.994863497736,50,-50,0,0.00256825113201131,0.00513650226402973
"revenue","Logistic",0.5,1,50.0024709929137,-49.9950580141727,50,-50,0,0.00247099291365771,0.00494198582732253
"revenue","Gaussian",0.75,1,50.0012653490406,-49.9974693019187,50,-50,0,0.00126534904063647,0.00253069808127293
"revenue","Laplace",0.75,1,50.0052646366076,-49.9894707267852,50,-50,0,0.00526463660761323,0.0105292732147717
"revenue","Logistic",0.75,1,50.0037352138439,-49.9925295723122,50,-50,0,0.0037352138439104,0.00747042768779238
"revenue","Gaussian",1,1,50.0016611885506,-49.9966776228988,50,-50,0,0.00166118855062081,0.00332237710124161
"revenue","Laplace",1,1,50.0080762266062,-49.9838475467878,50,-50,0,0.00807622660617113,0.0161524532122357
"revenue","Logistic",1,1,50.004989887416,-49.9900202251681,50,-50,0,0.00498988741595952,0.00997977483191193
"revenue","Gaussian",1.5,1,50.0024426193735,-49.9951147612531,50,-50,0,0.00244261937346835,0.00488523874693669
"revenue","Laplace",1.5,1,50.0117015823479,-49.9765968353044,50,-50,0,0.011701582347861,0.0234031646956296
"revenue","Logistic",1.5,1,50.0073844519964,-49.9852310960073,50,-50,0,0.00738445199635152,0.0147689039927172
"revenue","Gaussian",2,1,50.0032141950994,-49.9935716098011,50,-50,0,0.00321419509943155,0.0064283901988702
"revenue","Laplace",2,1,50.0125659485939,-49.9748681028123,50,-50,0,0.0125659485938598,0.0251318971877055
"revenue","Logistic",2,1,50.0095099171632,-49.9809801656736,50,-50,0,0.00950991716318583,0.0190198343263717
"revenue","Gaussian",3,1,50.0047293527149,-49.9905412945702,50,-50,0,0.0047293527148895,0.009458705429779
"revenue","Laplace",3,1,50.0138672980174,-49.9722654039651,50,-50,0,0.0138672980174093,0.0277345960348541
"revenue","Logistic",3,1,50.0126629617658,-49.9746740764685,50,-50,0,0.0126629617657557,0.0253259235315255
"revenue","Gaussian",4,1,50.0061968323051,-49.9876063353899,50,-50,0,0.00619683230506496,0.0123936646101299
"revenue","Laplace",4,1,50.0151752263813,-49.9696495472372,50,-50,0,0.0151752263813378,0.0303504527627609
"revenue","Logistic",4,1,50.0144125000415,-49.9711749999171,50,-50,0,0.0144125000414519,0.0288250000829038
"revenue","Gaussian",6,1,50.0089144269829,-49.9821711460343,50,-50,0,0.00891442698286227,0.0178288539657316
"revenue","Laplace",6,1,50.0161227141023,-49.9677545717954,50,-50,0,0.0161227141022664,0.0322454282046252
"revenue","Logistic",6,1,50.0156352721543,-49.9687294556915,50,-50,0,0.0156352721542632,0.0312705443084909
