"channel","epsilon","delta","lambda","efficiency","efficiency_se","efficiency_lower","efficiency_upper","revenue","revenue_se","revenue_lower","revenue_upper","build_probability","mean_aggregate_xhat","mean_aggregate_Jhat","signal_outside_grid_rate"
"Gaussian",0.25,1e-05,0,0.0109661307834698,0.0124559808765865,-0.0134475917346397,0.0353798533015794,-50.3093038562528,0.352844913256439,-51.0008798862354,-49.6177278262701,0.5041,0.00158215623025106,-99.9968356875395,0
"Laplace",0.25,1e-05,0,0.0724625176680237,0.012022790746224,0.0488978478054247,0.0960271875306227,-49.6417511144632,0.351318150179074,-50.3303346888142,-48.9531675401122,0.499599999999999,-0.000194487403060094,-100.000388974806,0
"Logistic",0.25,1e-05,0,0.0283849977040021,0.0123324847968213,0.00421332750223224,0.0525566679057719,-50.2856448400689,0.352187735328105,-50.975932801312,-49.5953568788258,0.5048,0.00236425536978927,-99.9952714892604,0
"Gaussian",0.5,1e-05,0,0.0300011664460128,0.0123427542973538,0.00580936802319944,0.0541929648688261,-50.2399021121138,0.352219307425927,-50.9302519546686,-49.549552269559,0.5043,0.00299437588809017,-99.9940112482238,0
"Laplace",0.5,1e-05,0,0.141337579294564,0.0115800281881271,0.118640724045835,0.164034434543293,-49.5426240706303,0.349239874360438,-50.2271342243768,-48.8581139168839,0.501599999999999,-1.05227324153774e-05,-100.000021045465,0
"Logistic",0.5,1e-05,0,0.0718833945797928,0.0120685048786021,0.0482291250177327,0.0955376641418529,-50.0939989779361,0.350854424346861,-50.7816736496559,-49.4063243062162,0.5048,0.00476159511857067,-99.9904768097629,0
"Gaussian",0.75,1e-05,0,0.0480096533583101,0.0122135124553164,0.02407116894589,0.0719481377707303,-50.0947326403514,0.35162644062421,-50.7839204639749,-49.405544816728,0.5037,0.0043444484175527,-99.9913111031649,0
"Laplace",0.75,1e-05,0,0.20172746146704,0.0111163251252888,0.179939464221475,0.223515458712606,-49.1781909015588,0.347295168210131,-49.8588894312507,-48.497492371867,0.500750000000001,0.00120122719243009,-99.9975975456154,0
"Logistic",0.75,1e-05,0,0.114148398535525,0.0117680999461754,0.0910829226410217,0.137213874430029,-49.914614817461,0.349542891298848,-50.5997188844067,-49.2295107505153,0.5049,0.0071914278803521,-99.9856171442393,0
"Gaussian",1,1e-05,0,0.0650697124615454,0.0121095627218694,0.0413349695266813,0.0888044553964094,-50.0676078586958,0.351053842813463,-50.7556733906102,-49.3795423267814,0.50425,0.00564893628338816,-99.9887021274332,0
"Laplace",1,1e-05,0,0.256985258477708,0.0106847257998998,0.236043195909904,0.277927321045511,-48.8279942161426,0.345487397926788,-49.5051495160791,-48.1508389162061,0.49985,0.0028221497643639,-99.9943557004711,0
"Logistic",1,1e-05,0,0.162905699317883,0.0114027670805081,0.140556275840087,0.185255122795679,-49.653109712713,0.348253918401679,-50.3356873927803,-48.9705320326457,0.50415,0.00964030128239402,-99.9807193974352,0
"Gaussian",1.5,1e-05,0,0.0995224951932666,0.0118715808207313,0.0762541967846333,0.1227907936019,-49.8956272345922,0.349964036086406,-50.5815567453215,-49.2096977238628,0.5041,0.00814508694079464,-99.9837098261184,0
"Laplace",1.5,1e-05,0,0.354710937705733,0.00984531237579848,0.335414125449167,0.374007749962298,-48.4217126022595,0.342277801885743,-49.0925770939556,-47.7508481105635,0.5005,0.00934580333584427,-99.9813083933284,0
"Logistic",1.5,1e-05,0,0.244459181724769,0.0108057356203546,0.223279939908874,0.265638423540664,-49.3261220397097,0.345774666205364,-50.0038403854722,-48.6484036939471,0.5045,0.0145379422417862,-99.9709241155164,0
"Gaussian",2,1e-05,0,0.135892172047245,0.0115955794002549,0.113164836422746,0.158619507671745,-49.6417055061985,0.348929227578487,-50.3256067922523,-48.9578042201447,0.503049999999999,0.0105077221805094,-99.978984555639,0
"Laplace",2,1e-05,0,0.442713370836918,0.00901009722915494,0.425053580267774,0.460373161406061,-48.2960943691137,0.339580270099626,-48.961671698509,-47.6305170397185,0.50335,0.017512385932732,-99.9649752281346,0
"Logistic",2,1e-05,0,0.319030838005035,0.0102078541337219,0.29902344390294,0.33903823210713,-49.198656841091,0.343476570605326,-49.8718709194775,-48.5254427627046,0.50665,0.0193350937306915,-99.9613298125386,0
"Gaussian",3,1e-05,0,0.201140762796221,0.011144894747312,0.179296769091489,0.222984756500953,-49.5493437147603,0.347030660740431,-50.2295238098116,-48.8691636197091,0.5049,0.0148657666249707,-99.9702684667501,0
"Laplace",3,1e-05,0,0.590542780352569,0.0073469837089369,0.576142692283053,0.604942868422086,-47.8411324291569,0.335308069981114,-48.4983362463199,-47.1839286119939,0.50535,0.0309758080449565,-99.9380483839101,0
"Logistic",3,1e-05,0,0.455343628325837,0.00889478370087651,0.437909852272119,0.472777404379555,-48.6458215767709,0.339396223788769,-49.3110381753969,-47.980604978145,0.507250000000001,0.0281217089259618,-99.9437565821481,0
"Gaussian",4,1e-05,0,0.25430186165546,0.0107745595280763,0.23318372498043,0.275419998330489,-49.430853083545,0.345312855943933,-50.1076662811951,-48.7540398858949,0.50625,0.0187595744698224,-99.9624808510603,0
"Laplace",4,1e-05,0,0.687536500478558,0.00610433224304884,0.675572009282182,0.699500991674934,-47.6595951210625,0.332324278051613,-48.3109507060437,-47.0082395360814,0.508300000000001,0.040764470479613,-99.9184710590407,0
"Logistic",4,1e-05,0,0.566446169503456,0.00765718123020683,0.551438094292251,0.581454244714662,-48.0981685876263,0.336050320191386,-48.7568272152014,-47.4395099600512,0.50685,0.035091269661253,-99.9298174606775,0
"Gaussian",6,1e-05,0,0.35678849133477,0.00987105279512933,0.337441227856316,0.376135754813223,-49.1866163483004,0.342343246983124,-49.8576091123874,-48.5156235842135,0.50825,0.0252384063199633,-99.9495231873601,0
"Laplace",6,1e-05,0,0.811005300180976,0.00421817137012831,0.802737684295525,0.819272916066428,-46.6699714000835,0.328436105132794,-47.3137061661438,-46.0262366340232,0.504250000000001,0.0456757253805157,-99.9086485492389,0
"Logistic",6,1e-05,0,0.716147784027139,0.00570263182391227,0.704970625652271,0.727324942402007,-47.3245213909691,0.331357112731766,-47.9739813319233,-46.6750614500148,0.50635,0.0423267584560218,-99.915346483088,0
