"channel","epsilon","scale","mean_aggregate_xhat","theoretical_total_mean_x","mean_aggregate_Jhat","signal_outside_grid_rate","minimum_aggregate_xhat","aggregate_xhat_error"
"Laplace",1,2,100.009015520893,100,0.0591902831496768,0,96.6116438258507,0.00901552089284507
"Logistic",1,2,100.004693127996,100,0.0466791088724124,0,97.7635774048608,0.00469312799580734
"Laplace",2,1,100.017682861702,100,0.0777296511772863,0,93.8758150226089,0.0176828617015587
"Logistic",2,1,100.010789319504,100,0.0623366601386273,0,95.5436713669772,0.0107893195036297
"Laplace",4,0.5,100.032333152908,100,0.113937491257346,0,89.1609305373216,0.0323331529084214
"Logistic",4,0.5,100.023728334675,100,0.0927857165365557,0,91.3930771456883,0.0237283346745727
"Laplace",6,0.333333333333333,100.04117011652,100,0.143917071306633,0,86.8528474328858,0.041170116520405
"Logistic",6,0.333333333333333,100.034083808601,100,0.119480715229366,0,88.487383983617,0.0340838086011814
"Laplace",8,0.25,100.046622204091,100,0.156178463100644,0,85.8488340412269,0.046622204091264
"Logistic",8,0.25,100.041124363491,100,0.139133208664645,0,86.8293424640824,0.0411243634909511
"Laplace",10,0.2,100.049509025325,100,0.167256982285367,0,85.6041793841138,0.0495090253248236
"Logistic",10,0.2,100.045473252092,100,0.152356501203144,0,86.0559315185701,0.0454732520922647
