"mu","prior_high","efficiency_laplace","efficiency_logistic","welfare_gap","alpha_laplace","alpha_logistic","candidate_laplace","candidate_logistic","mu_label"
0.5,0.05,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.07,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.09,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.11,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.13,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.15,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.17,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.19,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.21,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.23,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.25,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.27,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.29,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 0.5"
0.5,0.31,0,5.90862663456036e-10,5.90862663456036e-10,0,1.47125735757276e-05,"alpha_zero","interior","mu = 0.5"
0.5,0.33,0,0.00366769786637408,0.00366769786637408,0,0.0383876160435008,"alpha_zero","interior","mu = 0.5"
0.5,0.35,0,0.013610531118235,0.013610531118235,0,0.0773196223647435,"alpha_zero","interior","mu = 0.5"
0.5,0.37,0,0.0285450303622632,0.0285450303622632,0,0.116942039724219,"alpha_zero","interior","mu = 0.5"
0.5,0.39,0,0.0474966909139221,0.0474966909139221,0,0.157388820116725,"alpha_zero","interior","mu = 0.5"
0.5,0.41,0.0372214919375108,0.0697184056123076,0.0324969136747968,0.334524735980049,0.198799128158598,"interior","interior","mu = 0.5"
0.5,0.43,0.0759499186192123,0.0946331126093224,0.0186831939901101,0.348545206493411,0.24131993085986,"interior","interior","mu = 0.5"
0.5,0.45,0.112706301031452,0.121792808073086,0.0090865070416335,0.362983782644151,0.285108761687629,"interior","interior","mu = 0.5"
0.5,0.47,0.147721926734593,0.150848838937656,0.00312691220306249,0.377896882120435,0.330336686991301,"interior","interior","mu = 0.5"
0.5,0.49,0.181197127439319,0.181530114224097,0.000332986784778777,0.393346477594838,0.377191689541879,"interior","interior","mu = 0.5"
0.5,0.5,0.197412651365847,0.197412651365847,0,0.401293668576599,0.401293668349786,"interior","interior","mu = 0.5"
0.5,0.51,0.213307044010326,0.213626972489819,0.000319928479493109,0.409401434843359,0.42588260626533,"interior","interior","mu = 0.5"
0.5,0.53,0.244206236915583,0.246979159057921,0.00277292214233832,0.426139036889802,0.476643827513528,"interior","interior","mu = 0.5"
0.5,0.55,0.274032428116643,0.281466842968889,0.00743441485224561,0.443646843035763,0.529740945398913,"interior","interior","mu = 0.5"
0.5,0.57,0.302909587730283,0.317003927056156,0.0140943393258727,0.46202503490131,0.585477673450418,"interior","interior","mu = 0.5"
0.5,0.59,0.330950528295558,0.353533129323807,0.0225826010282486,0.48138925254223,0.644204794893453,"interior","interior","mu = 0.5"
0.5,0.61,0.360655737704918,0.391022474518737,0.0303667368138189,1,0.706331054611538,"alpha_one","interior","mu = 0.5"
0.5,0.63,0.412698412698413,0.429462954339742,0.0167645416413291,1,0.772337442210886,"alpha_one","interior","mu = 0.5"
0.5,0.65,0.461538461538462,0.468867209063665,0.0073287475252034,1,0.842795878568041,"alpha_one","interior","mu = 0.5"
0.5,0.67,0.507462686567164,0.509269164620751,0.00180647805358713,1,0.918393810054982,"alpha_one","interior","mu = 0.5"
0.5,0.69,0.55072463768116,0.55072463794662,2.65460098347603e-10,1,0.999967243877956,"alpha_one","interior","mu = 0.5"
0.5,0.71,0.591549295774648,0.591549295774648,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.73,0.63013698630137,0.63013698630137,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.75,0.666666666666667,0.666666666666667,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.77,0.701298701298701,0.701298701298701,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.79,0.734177215189873,0.734177215189873,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.81,0.765432098765432,0.765432098765432,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.83,0.795180722891566,0.795180722891566,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.85,0.823529411764706,0.823529411764706,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.87,0.850574712643678,0.850574712643678,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.89,0.876404494382023,0.876404494382023,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.91,0.901098901098901,0.901098901098901,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.93,0.924731182795699,0.924731182795699,0,1,1,"alpha_one","alpha_one","mu = 0.5"
0.5,0.95,0.947368421052632,0.947368421052632,0,1,1,"alpha_one","alpha_one","mu = 0.5"
1,0.05,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 1"
1,0.07,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 1"
1,0.09,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 1"
1,0.11,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 1"
1,0.13,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 1"
1,0.15,0,0,0,0,0,"alpha_zero","alpha_zero","mu = 1"
1,0.17,0,0.000246548821906373,0.000246548821906373,0,0.00354313723418813,"alpha_zero","interior","mu = 1"
1,0.19,0,0.00773176123327408,0.00773176123327408,0,0.0212336523312952,"alpha_zero","interior","mu = 1"
1,0.21,0,0.0226034128672001,0.0226034128672001,0,0.0386486499044374,"alpha_zero","interior","mu = 1"
1,0.23,0,0.0420736471109028,0.0420736471109028,0,0.0558952392118843,"alpha_zero","interior","mu = 1"
1,0.25,0,0.0644193399839676,0.0644193399839676,0,0.0730632057794104,"alpha_zero","interior","mu = 1"
1,0.27,0,0.0885448965993194,0.0885448965993194,0,0.0902305089975321,"alpha_zero","interior","mu = 1"
1,0.29,0.0344646431217635,0.113739038171488,0.0792743950497242,0.197186798421175,0.107467162970371,"interior","interior","mu = 1"
1,0.31,0.0793772455971534,0.139533419011744,0.0601561734145909,0.206806561013575,0.124837948073365,"interior","interior","mu = 1"
1,0.33,0.120737729491226,0.165617365260025,0.0448796357687989,0.216534738252895,0.142404497216871,"interior","interior","mu = 1"
1,0.35,0.15906841914452,0.191784841584848,0.0327164224403277,0.226404653017837,0.160226995807705,"interior","interior","mu = 1"
1,0.37,0.194793227388839,0.217900586455439,0.0231073590666003,0.236449608021449,0.17836555161221,"interior","interior","mu = 1"
1,0.39,0.228260693611852,0.243878000232461,0.0156173066206085,0.246703548784435,0.196881489357121,"interior","interior","mu = 1"
1,0.41,0.259760793086497,0.269664433390892,0.00990364030439539,0.257201756285188,0.215838518775008,"interior","interior","mu = 1"
1,0.43,0.289537423549056,0.295231245272157,0.00569382172310084,0.26798149811406,0.235303918598311,"interior","interior","mu = 1"
